Asset,Url,Group,SubGroup,PrintFile,Name,Address,Season,Episode,Latitude,Longitude,CoordSource,Anitabi
001.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/001.jpg,1_嵐山（渡月橋·モンキーパーク·路地）,岚山,岚山/001_嵐山.png,嵐山,京都府 京都市 右京区,S2,4,35.014282,135.677672,anitabi,https://anitabi.cn/map/3774?id=s9p7vdnd9
002.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/002.jpg,1_嵐山（渡月橋·モンキーパーク·路地）,岚山,岚山/002_嵐山.png,嵐山,京都府 京都市 右京区 宇多野嵐山山田線,S2,4,35.014465,135.677536,anitabi,https://anitabi.cn/map/3774?id=s9p84i6l5
003.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/003.jpg,1_嵐山（渡月橋·モンキーパーク·路地）,岚山,岚山/006_嵐山・路地B.png,嵐山・路地B,京都府 京都市 右京区,S2,8,35.018432,135.678979,anitabi,https://anitabi.cn/map/3774?id=25idmew
004.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/004.jpg,1_嵐山（渡月橋·モンキーパーク·路地）,嵐山​モンキー​パーク​いわ​た​やま,嵐山​モンキー​パーク​いわ​た​やま/002_嵐山​モンキー​パーク​いわ​た​やま.png,嵐山​モンキー​パーク​いわ​た​やま,京都府 京都市 西京区 宇多野嵐山山田線,S2,4,35.009047,135.675231,anitabi,https://anitabi.cn/map/3774?id=s9p345e6q
005.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/005.jpg,1_嵐山（渡月橋·モンキーパーク·路地）,嵐山​モンキー​パーク​いわ​た​やま,嵐山​モンキー​パーク​いわ​た​やま/005_嵐山​モンキー​パーク​いわ​た​やま.png,嵐山​モンキー​パーク​いわ​た​やま,京都府 京都市 西京区 宇多野嵐山山田線,S2,4,35.008968,135.674802,anitabi,https://anitabi.cn/map/3774?id=s9p3kbcan
006.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/006.jpg,1_嵐山（渡月橋·モンキーパーク·路地）,嵐山​モンキー​パーク​いわ​た​やま,嵐山​モンキー​パーク​いわ​た​やま/006_嵐山​モンキー​パーク​いわ​た​やま.png,嵐山​モンキー​パーク​いわ​た​やま,京都府 京都市 西京区 宇多野嵐山山田線,S2,4,35.008959,135.674759,anitabi,https://anitabi.cn/map/3774?id=s9p3p9r9n
007.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/007.jpg,1_嵐山（渡月橋·モンキーパーク·路地）,渡月橋,渡月橋/001_渡月橋.png,渡月橋,京都府 京都市 右京区 宇多野嵐山山田線,S2,4,35.013641,135.678103,anitabi,https://anitabi.cn/map/3774?id=s9p7jili4
008.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/008.jpg,1_嵐山（渡月橋·モンキーパーク·路地）,渡月橋,渡月橋/003_渡月橋.png,渡月橋,京都府 京都市 右京区 宇多野嵐山山田線,S2,4,35.013598,135.678217,anitabi,https://anitabi.cn/map/3774?id=s9p6oz6ui
009.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/009.jpg,2_花園会館·妙心寺,轻音少女 二期,001_清水​自転車​花園​店.png,清水​自転車​花園​店,京都府 京都市 右京区 丸太町通,S2,4,35.019695,135.720038,anitabi,https://anitabi.cn/map/3774?id=s9oqb6eje
010.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/010.jpg,2_花園会館·妙心寺,花園会館,花園会館/001_花園会館.png,花園会館,京都府 京都市 右京区 妙心寺道,S2,4,35.020990,135.721648,anitabi,https://anitabi.cn/map/3774?id=s9opocm8q
